Country;% (CIA);Year (CIA);WB (2023);UN (2005-10);UN (2010-15);UN (2015-2020)
Afghanistan;1.91;2023;2.0;2.71;2.47;2.24
Albania;0.91;2023;1.2;1.05;0.91;0.82
Algeria;1.02;2023;1.0;1.30;1.09;0.95
Andorra;0.04;2023;0.5;0.51;0.52;0.53
Angola;2.77;2023;2.6;2.87;2.89;2.72
Antigua and Barbuda;0.91;2023;0.9;1.25;1.11;1.03
Argentina;1.41;2023;1.3;1.90;1.72;1.55
Armenia;0.92;2023;1.1;1.17;1.00;0.96
Australia;0.72;2023;1.0;0.98;0.89;0.80
Austria;0.32;2023;0.9;0.53;0.44;0.36
Azerbaijan;0.86;2023;0.7;1.21;1.00;0.94
Bahamas;0.50;2023;0.6;1.04;0.96;0.88
Bahrain;1.42;2023;1.4;2.10;1.89;1.71
Bangladesh;1.55;2023;1.5;1.83;1.67;1.54
Barbados;0.62;2023;0.8;1.23;1.14;1.06
Belarus;0.50;2023;0.6;0.52;0.50;0.45
Belgium;0.58;2023;0.8;0.57;0.57;0.51
Belize;0.82;2023;0.8;1.16;1.04;0.93
Benin;2.43;2023;2.3;2.95;2.84;2.73
Bhutan;2.73;2023;2.7;3.01;2.98;2.85
Bolivia;1.49;2023;1.5;1.79;1.65;1.52
Bosnia and Herzegovina;0.36;2023;0.6;0.52;0.35;0.31
Botswana;2.49;2023;2.3;2.75;2.61;2.56
Brazil;1.13;2023;1.1;1.44;1.28;1.11
Brunei;0.83;2023;1.0;1.28;1.16;1.06
Bulgaria;0.36;2023;0.5;0.42;0.34;0.29
Burkina Faso;3.22;2023;3.1;3.47;3.40;3.27
Burundi;3.50;2023;3.3;3.87;3.63;3.51
Cabo Verde;0.89;2023;1.0;1.17;1.05;0.96
Cambodia;1.99;2023;1.9;2.38;2.21;2.07
Cameroon;2.42;2023;2.3;2.88;2.75;2.62
Canada;0.76;2023;0.9;0.91;0.79;0.71
Central African Republic;3.37;2023;3.2;3.72;3.56;3.46
Chad;3.23;2023;3.2;3.60;3.50;3.43
Chile;0.19;2023;0.4;0.54;0.45;0.37
China;0.87;2023;0.7;1.06;0.94;0.80
Colombia;1.05;2023;1.1;1.49;1.37;1.22
Comoros;2.58;2023;2.4;3.00;2.82;2.67
Congo (Congo-Brazzaville);2.15;2023;2.0;2.56;2.52;2.35
Congo (Democratic Republic);3.14;2023;3.1;3.44;3.35;3.20
Costa Rica;0.88;2023;0.9;1.17;1.08;0.97
Croatia;0.30;2023;0.6;0.60;0.46;0.39
Cuba;0.62;2023;0.7;1.06;0.96;0.87
Cyprus;0.54;2023;0.7;0.65;0.60;0.57
Czech Republic;0.45;2023;0.7;0.74;0.64;0.59
Denmark;0.21;2023;0.5;0.69;0.58;0.50
Djibouti;1.51;2023;1.4;2.05;1.87;1.74
Dominica;0.76;2023;0.7;1.03;0.94;0.85
Dominican Republic;0.63;2023;0.6;1.07;0.99;0.93
East Timor;2.35;2023;2.3;2.68;2.60;2.51
Ecuador;1.19;2023;1.2;1.50;1.42;1.30
Egypt;0.98;2023;1.1;1.31;1.22;1.14
El Salvador;1.35;2023;1.2;2.14;1.97;1.75
Equatorial Guinea;2.45;2023;2.3;2.83;2.71;2.57
Eritrea;2.79;2023;2.6;3.04;2.93;2.82
Estonia;0.46;2023;0.8;0.58;0.48;0.43
Eswatini;2.41;2023;2.3;2.83;2.78;2.66
Ethiopia;2.59;2023;2.5;2.96;2.91;2.79
Fiji;2.36;2023;2.3;2.77;2.61;2.50
Finland;0.38;2023;0.5;0.66;0.55;0.47
France;0.28;2023;0.7;0.69;0.61;0.55
Gabon;2.55;2023;2.4;2.97;2.86;2.74
Gambia;2.20;2023;2.0;2.54;2.43;2.31
Georgia;1.19;2023;1.3;1.62;1.44;1.28
Germany;0.40;2023;0.6;0.60;0.53;0.47
Ghana;2.28;2023;2.3;2.72;2.62;2.47
Greece;0.08;2023;0.3;0.48;0.44;0.41
Grenada;0.86;2023;0.9;1.28;1.15;1.04
Guatemala;1.18;2023;1.1;1.45;1.32;1.21
Guinea;2.76;2023;2.7;3.13;3.01;2.86
Guinea-Bissau;2.76;2023;2.6;3.14;2.99;2.87
Guyana;1.46;2023;1.4;1.62;1.53;1.44
Haiti;1.03;2023;1.1;1.39;1.26;1.13
Honduras;1.28;2023;1.3;1.72;1.55;1.41
Hungary;0.03;2023;0.3;0.51;0.46;0.43
Iceland;0.10;2023;0.4;0.59;0.52;0.45
India;1.12;2023;1.4;1.44;1.37;1.26
Indonesia;1.56;2023;1.5;1.83;1.73;1.60
Iran;0.81;2023;0.9;1.11;1.01;0.92
Iraq;1.02;2023;1.1;1.29;1.16;1.05
Ireland;0.18;2023;0.5;0.70;0.61;0.53
Israel;0.42;2023;0.7;0.83;0.74;0.66
Italy;0.13;2023;0.4;0.56;0.47;0.41
Jamaica;0.53;2023;0.7;1.03;0.94;0.85
Japan;0.34;2023;0.5;0.72;0.64;0.57
Jordan;0.64;2023;0.8;1.10;0.97;0.86
Kazakhstan;0.91;2023;0.9;1.32;1.17;1.06
Kenya;2.56;2023;2.6;2.97;2.83;2.70
Kiribati;2.48;2023;2.3;2.85;2.74;2.61
North Korea;1.29;2023;1.2;1.65;1.53;1.42
South Korea;0.82;2023;1.0;1.28;1.17;1.05
Kuwait;1.42;2023;1.4;1.92;1.74;1.57
Kyrgyzstan;1.29;2023;1.1;1.62;1.49;1.37
Laos;2.03;2023;2.1;2.39;2.27;2.13
Latvia;0.30;2023;0.6;0.57;0.47;0.41
Lebanon;0.68;2023;0.8;1.01;0.91;0.81
Lesotho;2.61;2023;2.5;3.05;2.89;2.73
Liberia;2.82;2023;2.7;3.22;3.11;3.00
Libya;1.04;2023;1.0;1.38;1.19;1.09
Liechtenstein;0.45;2023;0.6;0.58;0.52;0.47
Lithuania;0.23;2023;0.6;0.60;0.51;0.46
Luxembourg;0.18;2023;0.4;0.59;0.50;0.45
Madagascar;2.76;2023;2.8;3.18;3.09;2.98
Malawi;2.38;2023;2.4;2.76;2.65;2.53
Malaysia;0.84;2023;1.0;1.14;1.04;0.94
Maldives;2.02;2023;2.0;2.36;2.22;2.10
Mali;2.56;2023;2.5;2.92;2.78;2.66
Malta;0.13;2023;0.5;0.69;0.60;0.54
Marshall Islands;2.61;2023;2.6;2.95;2.83;2.72
Mauritania;2.39;2023;2.3;2.74;2.60;2.48
Mauritius;0.84;2023;0.9;1.22;1.09;0.98
Mexico;1.04;2023;1.1;1.36;1.22;1.10
Micronesia;2.26;2023;2.3;2.64;2.51;2.41
Moldova;0.57;2023;0.7;1.08;0.96;0.86
Monaco;0.14;2023;0.3;0.49;0.44;0.39
Mongolia;0.66;2023;0.8;1.05;0.95;0.85
Montenegro;0.50;2023;0.7;0.95;0.85;0.74
Morocco;0.89;2023;1.0;1.20;1.07;0.97
Mozambique;2.42;2023;2.3;2.81;2.70;2.56
Namibia;2.51;2023;2.4;2.80;2.72;2.60
Nauru;2.41;2023;2.4;2.74;2.63;2.50
Nepal;1.86;2023;1.9;2.25;2.14;2.03
Netherlands;0.38;2023;0.6;0.68;0.60;0.53
New Zealand;0.51;2023;0.8;0.95;0.84;0.76
Nicaragua;1.47;2023;1.4;1.79;1.64;1.51
Niger;2.69;2023;2.6;3.14;3.00;2.85
Nigeria;2.42;2023;2.3;2.84;2.71;2.59
North Macedonia;0.45;2023;0.6;0.66;0.59;0.54
Norway;0.15;2023;0.5;0.68;0.60;0.53
Oman;1.48;2023;1.4;1.91;1.71;1.56
Pakistan;2.15;2023;2.1;2.53;2.45;2.30
Palau;2.48;2023;2.4;2.80;2.69;2.57
Panama;1.00;2023;1.1;1.43;1.30;1.16
Papua New Guinea;2.77;2023;2.7;3.11;2.95;2.82
Paraguay;1.14;2023;1.2;1.52;1.38;1.26
Peru;1.06;2023;1.1;1.32;1.21;1.10
Philippines;2.04;2023;2.0;2.42;2.30;2.18
Poland;0.14;2023;0.5;0.58;0.49;0.42
Portugal;0.13;2023;0.5;0.62;0.55;0.48
Qatar;2.03;2023;2.0;2.48;2.34;2.21
Romania;0.39;2023;0.5;0.64;0.56;0.50
Russia;-0.56;2023;-0.4;-0.24;-0.37;-0.35
Rwanda;2.45;2023;2.4;2.85;2.72;2.60
Saint Kitts and Nevis;0.67;2023;0.7;1.05;0.95;0.87
Saint Lucia;0.68;2023;0.8;1.13;1.04;0.95
Saint Vincent and the Grenadines;0.77;2023;0.9;1.23;1.14;1.05
Samoa;2.42;2023;2.3;2.80;2.68;2.55
San Marino;0.09;2023;0.2;0.43;0.37;0.32
Sao Tome and Principe;2.55;2023;2.5;2.93;2.83;2.74
Saudi Arabia;1.25;2023;1.2;1.62;1.47;1.36
Senegal;2.14;2023;2.1;2.53;2.43;2.32
Serbia;0.24;2023;0.6;0.65;0.58;0.52
Seychelles;1.16;2023;1.1;1.49;1.34;1.22
Sierra Leone;2.56;2023;2.5;3.04;2.85;2.75
Singapore;0.59;2023;0.6;0.82;0.73;0.64
Slovakia;0.18;2023;0.4;0.56;0.50;0.44
Slovenia;0.32;2023;0.6;0.68;0.58;0.51
Solomon Islands;2.67;2023;2.6;3.05;2.91;2.79
Somalia;2.85;2023;2.8;3.18;3.04;2.92
South Africa;2.28;2023;2.2;2.66;2.53;2.41
South Sudan;3.30;2023;3.2;3.65;3.56;3.47
Spain;0.17;2023;0.4;0.56;0.48;0.43
Sri Lanka;2.07;2023;2.0;2.42;2.30;2.17
Sudan;2.70;2023;2.6;3.13;2.98;2.86
Suriname;2.48;2023;2.5;2.92;2.81;2.70
Sweden;0.24;2023;0.6;0.72;0.64;0.56
Switzerland;0.29;2023;0.7;0.71;0.62;0.55
Syria;1.52;2023;1.5;1.91;1.72;1.58
Taiwan;0.37;2023;0.6;0.71;0.63;0.56
Tajikistan;1.23;2023;1.2;1.56;1.40;1.29
Tanzania;2.41;2023;2.4;2.79;2.67;2.55
Thailand;1.22;2023;1.3;1.54;1.39;1.27
Togo;2.51;2023;2.5;2.95;2.83;2.70
Tonga;2.21;2023;2.1;2.61;2.47;2.35
Trinidad and Tobago;0.84;2023;1.0;1.32;1.20;1.09
Tunisia;1.02;2023;1.1;1.36;1.22;1.11
Turkey;0.39;2023;0.6;0.77;0.67;0.59
