Country;Adults;Median;Mean;Gini;Year
Albania;2,200,000;17,280;34,839;68.6;2022
Algeria;28,349,000;3,226;12,491;85.2;2022
Angola;15,394,000;1,716;5,418;81.2;2022
Antigua and Barbuda;71,000;8,916;30,634;82.5;2022
Argentina;31,540,000;4,354;13,323;80.0;2022
Armenia;2,179,000;14,215;34,988;73.2;2022
Aruba;82,000;18,428;61,622;81.9;2022
Australia;19,564,000;247,453;496,819;66.3;2022
Austria;7,314,000;68,492;245,225;76.1;2022
Azerbaijan;7,278,000;9,209;21,578;72.3;2022
Bahamas;287,000;10,885;72,971;88.9;2022
Bahrain;1,376,000;13,904;84,313;89.7;2022
Bangladesh;110,099,000;3,842;9,796;75.0;2022
Barbados;223,000;31,436;91,291;80.9;2022
Belarus;7,312,000;18,466;34,835;67.1;2022
Belgium;9,055,000;249,937;352,814;59.6;2022
Belize;259,000;3,928;14,966;83.4;2022
Benin;6,218,000;922;2,823;79.8;2022
Bolivia;7,395,000;4,913;14,222;80.6;2022
Bosnia and Herzegovina;2,627,000;16,484;33,593;69.0;2022
Botswana;1,427,000;3,591;16,567;88.5;2022
Brazil;157,120,000;5,702;29,452;88.4;2022
Brunei;318,000;6,983;39,908;89.0;2022
Bulgaria;5,487,000;22,759;47,074;70.6;2022
Burkina Faso;10,144,000;563;1,713;79.6;2022
Burundi;5,741,000;453;947;70.2;2022
Cambodia;10,532,000;2,185;6,036;77.5;2022
Cameroon;13,517,000;910;3,271;83.7;2022
Canada;30,474,000;137,633;369,577;72.3;2022
Central African Republic;2,296,000;260;95;285.3;2022
Chad;7,581,000;483;1,297;77.2;2022
Chile;14,409,000;19,544;54,082;78.8;2022
China;1,115,602,000;27,273;75,731;70.9;2022
Colombia;36,500,000;4,450;15,464;83.1;2022
Comoros;471,000;1,256;5,285;86.2;2022
DR Congo;42,527,000;492;1,662;83.0;2022
Congo;2,868,000;380;1,465;85.4;2022
Costa Rica;3,795,000;19,356;55,545;79.7;2022
Croatia;3,270,000;34,837;70,461;69.6;2022
Cyprus;691,000;40,957;158,321;78.4;2022
Czech Republic;8,519,000;23,502;90,393;78.5;2022
Denmark;4,559,000;186,041;409,954;73.6;2022
